iteration,Accuracy
0,0.6921966374682842
1,0.6512215368848137
2,0.6650753416245713
3,0.6162069673662216
4,0.6749570128294095
5,0.6832141407459942
6,0.6663128715433821
7,0.6137759424440261
8,0.6641344533757114
9,0.6368996087400923
10,0.554557758189088
11,0.6590661577017356
12,0.6096508342828049
13,0.6648992159801475
14,0.5625136112406696
15,0.6844030006746145
16,0.6453745745904957
17,0.6259171421474395
18,0.6795038805705276
19,0.6294420070928677
20,0.6468693414781969
21,0.612547686568433
22,0.6117458437955325
23,0.6062812655424419
24,0.6622480355464716
25,0.6527510659336692
26,0.6761342864271975
27,0.6075767259338803
28,0.6154468335529406
29,0.6664889964090681
