iteration,Accuracy
0,0.689207108231044
1,0.6741459003903355
2,0.6916589850148787
3,0.622559129259719
4,0.617741126065529
5,0.622848819646749
6,0.6281697175370874
7,0.6195603426818461
8,0.6515830652512713
9,0.554557758189088
10,0.6444081913761766
11,0.6970818490720091
12,0.692850161151656
13,0.6823659491588709
14,0.7059183460010263
15,0.6939463235592429
16,0.7015777360122388
17,0.6996843676788158
18,0.6522435425806309
19,0.6995986202323168
20,0.554557758189088
21,0.7019624330661124
22,0.6979138212406603
23,0.6966392167119623
24,0.554557758189088
25,0.6822106793503349
26,0.66749014398649
27,0.6783150205882011
28,0.6965789628614184
29,0.6927505053390604
