iteration,Accuracy
0,0.9956864431589892
1,0.8597220993973167
2,0.9961356390764914
3,0.9965850368979476
4,0.9959559041763834
5,0.9957764115610205
6,0.8677201611193555
7,0.8548697012830996
8,0.8384247049678468
9,0.8773354735152488
10,0.844266109411753
11,0.8490298313092461
12,0.9766356744096834
13,0.8455246979012084
14,0.9541694176080439
15,0.8414801175081014
16,0.9960459129592054
17,0.8380661639258206
18,0.8634964919187942
19,0.876526484751204
20,0.9959559445571742
21,0.995955984937965
22,0.9961356794572822
23,0.9906542697638734
24,0.9916425896201178
25,0.9958661780590973
26,0.9948774947757352
27,0.9950574719605884
28,0.9962255267169408
29,0.9955965555185398
