iteration,Accuracy
0,0.9903845664617341
1,0.9913728863179786
2,0.9937996103253681
3,
4,0.9936197542828877
5,0.9909239730660125
6,0.9867003442462421
7,0.9934399790019889
8,0.9928108462804243
9,0.9929005723977105
10,
11,0.9942488062428703
12,0.9758270086919651
13,0.9936196331405152
14,0.9911932321794523
15,0.9740300634987935
16,0.9943385727409471
17,
18,0.9942486043389159
19,0.9922715608185186
20,0.9931703968422221
21,
22,0.9932601633402991
23,0.9952370857183238
24,
25,0.9627067244111975
26,0.9937096015425462
27,0.9948777774412711
28,0.9934398982404071
29,0.9918227687089252
