iteration,Accuracy
0,0.9009707945930121
1,0.629673016546029
2,0.9944284200006056
3,0.9955068294012539
4,0.9928110078035879
5,0.9955965555185399
6,0.9921819154628142
7,0.8991734052111411
8,0.7782172688452104
9,0.9900252178038906
10,0.18439972944870126
11,0.9092532582250623
12,0.9912834428662286
13,0.781272116054393
14,0.996135719838073
15,0.9942486043389159
16,0.9941587570792574
17,0.894589297071383
18,0.9951471980778743
19,0.9918226475665526
20,0.9953269733587732
21,0.9955965555185399
22,0.9953271348819367
23,0.9963154547381811
24,0.7812710257730398
25,0.9953270137395641
26,0.9865203670613891
27,0.9961357602188639
28,0.9676491313082367
29,0.9869699667867995
