iteration,Accuracy
0,0.9183331863621425
1,0.9233980006573621
2,0.918586671583521
3,0.9278300638923851
4,0.5745758812259001
5,0.9244114605462519
6,0.9207395323109482
7,0.7223349981160965
8,0.5707773707121155
9,0.659154568265446
10,0.9140284269005379
11,0.5819197376965072
12,0.8657883133853345
13,0.5888825646740046
14,0.6727023192053936
15,0.915041566125011
16,0.90833102187733
17,0.588376476058393
18,0.6828309056364787
19,0.9264364563375314
20,0.9116236842738153
21,0.8970626337771863
22,0.5645731555783584
23,0.9063049037605919
24,0.5662192061952365
25,0.5711572778797669
26,0.5877434043337797
27,0.5859710921028372
28,0.8944032034375227
29,0.9173210892970236
