iteration,Accuracy
0,0.5710714087507418
1,0.5297868452845976
2,0.4653748457798098
3,0.6685397642618989
4,0.510843098833263
5,0.40358021370969466
6,0.6136655524391337
7,0.34779199378423253
8,0.6940181777043498
9,0.6437182754660759
10,0.34779199378423253
11,0.38973092045439994
12,0.7042072548592702
13,0.57799661035762
14,0.5446814632667786
15,0.42866442113531666
16,0.6613527832208432
17,0.4711246867569149
18,0.6326121164773333
19,0.5988999457827983
20,0.7010713660600316
21,0.7108705916505509
22,0.5599667012461418
23,0.6686683486806436
24,0.670628535324428
25,0.6950617094214128
26,0.6771636292226448
27,0.6084375627019804
28,0.674418445802009
29,0.6490714343651678
