Dataset,Method,Score,Time
Eye movement,HyperOPT Random,0.759,37.35 
Eye movement,HyperOPT TPE,0.7079 ,33.28 
Eye movement, Optuna Random,0.7660 ,35.28 
Eye movement,Optuna TPE,0.7568 ,38.31 
Gas concentration,HyperOPT Random,0.9960 ,74.02 
Gas concentration,HyperOPT TPE,0.9957 ,61.68 
Gas concentration,Optuna Random,0.9949 ,99.08 
Gas concentration,Optuna TPE,0.9964 ,110.28 
Gesture phase,HyperOPT Random,0.9417 ,58.74 
Gesture phase,HyperOPT TPE,0.9529 ,95.02 
Gesture phase,Optuna Random,0.9417 ,66.14 
Gesture phase,Optuna TPE,0.9448 ,84.61 
Airlines,HyperOPT Random,0.7028 ,180.54 
Airlines,HyperOPT TPE,0.7119 ,239.64 
Airlines, Optuna Random,0.6927 ,140.44 
Airlines,Optuna TPE,0.7096 ,265.98 
