,Dataset,Method,Score,Time
0,Eye movement,HyperOPT Random ,0.7267,7.73
1,Eye movement,HyperOPT TPE ,0.6755,11.45
2,Eye movement,Optuna Random ,0.6888,3.57
3,Eye movement,Optuna TPE ,0.6705,3.53
4,Gas concentration,HyperOPT Random ,0.995,16.5
5,Gas concentration,HyperOPT TPE ,0.995,17.12
6,Gas concentration,Optuna Random ,0.9914,12.72
7,Gas concentration,Optuna TPE ,0.9957,8.4
8,Gesture-phase,HyperOPT Random ,0.9139,16.85
9,Gesture-phase,HyperOPT TPE ,0.9276,21.42
10,Gesture-phase,Optuna Random ,0.877,9.75
11,Gesture-phase,Optuna TPE ,0.9362,14.95
12,Airlines,HyperOPT Random ,0.7133,170.97
13,Airlines,HyperOPT TPE ,0.7138,181.62
14,Airlines,Optuna Random ,0.7118,77.47
15,Airlines,Optuna TPE ,0.7122,160.02
