Dataset,Method,Score,Time
Eye movement,HyperOPT Random,0.7244 ,39.06 
Eye movement,HyperOPT TPE,0.7399 ,40.91 
Eye movement, Optuna Random,0.7522 ,43.24 
Eye movement,Optuna TPE,0.73126 ,44.73 
Gas concentration,HyperOPT Random,0.9953 ,91.76 
Gas concentration,HyperOPT TPE,0.9957 ,77.92 
Gas concentration,Optuna Random,0.9960 ,89.31 
Gas concentration,Optuna TPE,0.9946 ,79.98 
Gesture phase,HyperOPT Random,0.9311 ,52.72 
Gesture phase,HyperOPT TPE,0.9377 ,60.39 
Gesture phase,Optuna Random,0.9382 ,57.87 
Gesture phase,Optuna TPE,0.9448 ,103.3 
Airlines,HyperOPT Random,0.6970 ,138.73 
Airlines,HyperOPT TPE,0.7006 ,209.61 
Airlines, Optuna Random,0.7009 ,251.75 
Airlines,Optuna TPE,0.7038 ,302.78 
